Date,Low,High,Close,Open,Volume,predicted_low,predicted_high,predicted_mean,signal1,signal2
2022-11-11,16507.0,16830.0,16691.0,16668.5,150072500.0,16021.102,17176.4545,16680.85475,0,0
2022-11-12,16159.5,16733.0,16260.5,16691.0,231499300.0,15966.2755,17117.8065,16655.69375,0,0
2022-11-13,15400.0,16293.0,15752.5,16260.5,486527900.0,15410.836,16832.039,16312.0125,2,0
2022-11-14,15608.0,16290.0,16197.0,15752.5,265144200.0,15043.519,16368.115,15572.7145,1,0
2022-11-15,16140.5,16713.5,16592.0,16197.0,312993100.0,15352.766,16681.438,16210.588,2,0
2022-11-16,16460.0,16782.0,16583.5,16592.0,184522500.0,15944.644,16989.077,16663.9295,0,0
2022-11-17,16307.0,16600.0,16524.0,16583.5,181552900.0,15877.4125,17022.962,16636.67125,0,0
2022-11-18,16343.0,16677.0,16444.0,16524.0,261141700.0,15725.098,16967.642,16522.24875,1,0
2022-11-19,16378.5,16630.0,16422.5,16444.0,198318200.0,15766.15,16978.9205,16573.241,2,0
2022-11-20,15990.5,16478.5,16210.5,16422.5,291013300.0,15794.658,16978.577,16566.97575,0,0
2022-11-21,16094.0,16543.0,16436.5,16210.5,228630800.0,15333.7465,16693.2465,16206.98475,1,1
2022-11-22,16432.5,17259.5,17160.0,16436.5,330940500.0,15781.819,16879.419,16493.80625,2,0
2022-11-23,16859.5,17300.5,16956.5,17160.0,223270900.0,16112.1555,17174.8655,16724.64175,1,0
2022-11-24,16706.5,17156.0,17083.0,16956.5,243226500.0,16233.114,17339.465,16859.914,0,2
2022-11-25,16858.5,17140.0,16901.5,17083.0,167423200.0,16156.0565,17302.952,16835.271,0,2
2022-11-26,16900.0,17289.5,17121.5,16901.5,182830700.0,16250.9385,17368.982,16870.747,0,2
2022-11-27,16855.0,17438.0,16958.0,17121.5,285656200.0,16218.141,17386.553,16876.8785,0,0
2022-11-28,16913.0,17096.5,17075.0,16958.0,192769300.0,16239.624,17375.1305,16868.9755,0,0
2022-11-29,16650.0,17130.5,16817.5,17075.0,209194000.0,16243.2475,17388.153,16856.95925,0,0
2022-11-30,16731.0,17311.5,17223.0,16817.5,238949800.0,16172.4235,17347.055,16819.89,2,0
2022-12-01,17058.0,17340.0,17118.5,17223.0,177900600.0,16163.8705,17358.1945,16824.1545,1,1
2022-12-02,17098.0,17213.0,17122.0,17118.5,127838000.0,16256.7645,17496.2575,16908.9185,0,1
2022-12-03,17071.0,17258.0,17081.5,17122.0,122080300.0,16868.067,17513.595,16968.4855,0,2
2022-12-04,16870.5,17229.5,17198.5,17081.5,214568000.0,16853.5465,17446.784,16971.69475,0,2
2022-12-05,17073.0,18190.0,17774.5,17198.5,367733900.0,16218.1095,17420.0365,16863.52775,0,1
2022-12-06,17663.5,18372.5,17811.5,17774.5,320468600.0,17471.688,18795.463,17882.041,2,2
2022-12-07,17270.5,17858.5,17351.5,17811.5,277202200.0,18380.087,19109.376,18637.9665,0,2
2022-12-08,16517.0,17522.0,16618.5,17351.5,399703900.0,17368.4345,17681.108,17305.60375,1,0
2022-12-09,16582.0,16787.5,16774.0,16618.5,131645600.0,16112.6945,17354.4455,16769.41825,2,1
2022-12-10,16661.0,16826.0,16744.5,16774.0,100875200.0,16207.4255,17243.337,16765.909,1,1
2022-12-11,16240.5,16819.0,16434.5,16744.5,217570500.0,16209.3215,17436.457,16844.1275,2,1
2022-12-12,16390.0,17045.0,16891.5,16434.5,265697700.0,15961.2915,17174.983,16635.96225,0,1
2022-12-13,16718.0,16914.0,16821.5,16891.5,171217900.0,16261.1725,17153.614,16747.3575,1,0
2022-12-14,16553.0,16862.0,16809.5,16821.5,224080700.0,16315.7595,17252.3515,16800.30925,0,0
2022-12-15,16745.0,16935.0,16780.5,16809.5,126032500.0,16190.716,17182.659,16751.22025,0,1
2022-12-16,16780.5,16858.5,16828.5,16780.5,57711300.0,16223.261,17290.343,16820.96775,2,1
2022-12-17,16707.0,16848.5,16819.0,16828.5,82197100.0,16216.225,17276.398,16817.89075,1,1
2022-12-18,16647.0,16941.0,16920.0,16819.0,114548500.0,16174.375,17270.698,16799.105,0,1
2022-12-19,16579.5,16979.0,16692.0,16920.0,189277900.0,16177.2615,17286.0575,16803.54575,0,1
2022-12-20,16456.0,16768.5,16537.5,16692.0,204995500.0,16162.6775,17222.4185,16763.5025,2,1
2022-12-21,16477.0,16645.0,16620.0,16537.5,141152300.0,16092.542,17052.7355,16677.39825,0,1
2022-12-22,16322.0,16655.5,16602.0,16620.0,189409100.0,16198.4265,17014.4255,16706.4045,0,1
2022-12-23,16424.5,16618.5,16522.0,16602.0,98777600.0,16168.3815,16986.975,16685.69525,0,1
2022-12-24,16482.0,16618.0,16610.0,16522.0,76694600.0,16052.3025,16988.4545,16599.34125,0,1
2022-12-25,16544.5,16789.5,16670.0,16610.0,178201900.0,16174.187,17009.0565,16687.2465,0,1
2022-12-26,16596.0,16765.0,16656.0,16670.0,181530200.0,16178.1945,17119.4805,16754.24625,0,1
2022-12-27,16639.5,16978.0,16842.5,16656.0,242691300.0,16183.157,17186.154,16813.5425,0,1
2022-12-28,16750.5,16872.0,16818.0,16842.5,137907100.0,15987.6365,17272.0735,16770.76475,1,1
2022-12-29,16665.5,17050.0,16947.0,16818.0,225178400.0,15996.616,17306.707,16781.23625,0,1
2022-12-30,16908.5,16963.5,16940.0,16947.0,43963000.0,16072.142,17282.688,16789.6215,0,1
2022-12-31,16907.5,17198.5,17131.0,16940.0,102481000.0,16167.8575,17347.361,16843.7235,0,1
2023-01-01,17110.0,17392.0,17167.5,17131.0,244785800.0,16213.954,17387.1945,16871.82875,0,1
2023-01-02,17149.5,17485.5,17442.5,17167.5,163484100.0,16888.3065,17447.511,17002.371,0,0
2023-01-03,17305.5,18000.0,17943.0,17442.5,216653300.0,17219.643,17517.7765,17226.08625,0,0
2023-01-04,17909.5,19111.5,18837.5,17943.0,576284200.0,18316.4115,19015.861,18471.10525,2,0
2023-01-05,18716.0,19998.5,19920.0,18837.5,356284600.0,18597.464,19539.42,19022.78175,0,0
2023-01-06,19883.5,21550.0,20948.0,19920.0,749346000.0,19349.3165,20340.4415,19943.3395,0,0
2023-01-07,20460.0,21066.5,20879.0,20948.0,291708000.0,20358.066,21671.7875,20955.77375,0,2
2023-01-08,20555.5,21478.0,21186.0,20879.0,394529300.0,20272.441,21659.23,20932.12725,0,2
2023-01-09,20753.5,21598.5,21118.5,21186.0,382153300.0,20908.0465,21807.2125,21386.622,0,2
2023-01-10,20398.0,21652.5,20671.0,21118.5,463020100.0,20923.2775,21839.666,21414.903,0,2
2023-01-11,20650.5,21164.0,21063.5,20671.0,305842300.0,19144.451,21082.6245,20179.82325,1,0
2023-01-12,20853.0,22750.0,22665.0,21063.5,436130500.0,20676.168,21401.2075,21010.313,0,0
2023-01-13,22336.5,23361.0,22778.5,22665.0,528960500.0,22229.9325,23208.2335,22652.1455,0,0
2023-01-14,22265.0,23066.0,22697.5,22778.5,367080200.0,22818.0985,23637.7945,23061.5845,2,2
2023-01-15,22478.5,23175.0,22910.5,22697.5,374543500.0,22673.369,23413.665,22851.731,0,2
2023-01-16,22454.0,23154.5,22629.5,22910.5,360087600.0,22891.7855,23745.55,23159.603,0,2
