Date,Low,High,Close,Open,Volume,predicted_low,predicted_high,predicted_mean,signal1,signal2
2024-01-01 16:00:00,2351.7,2397.25,2393.35,2356.1,149415.0,2345.679099999996,2366.301850000002,2355.8305000000073,1,0
2024-01-01 17:00:00,2376.05,2403.15,2383.4,2393.35,90528.0,2370.880499999995,2410.547099999994,2395.9861749999964,2,2
2024-01-01 18:00:00,2378.8,2386.65,2386.65,2383.4,21191.0,2362.531249999998,2404.3577999999975,2382.8598500000035,1,2
2024-01-01 19:00:00,2375.75,2392.7,2389.75,2386.65,28143.0,2367.4503000000022,2401.3424999999943,2384.4351500000057,0,0
2024-01-01 20:00:00,2382.8,2394.25,2392.9,2389.75,18415.0,2369.4644000000008,2404.241150000001,2385.959700000003,0,2
2024-01-01 21:00:00,2381.5,2396.55,2381.7,2392.9,17842.0,2372.8307500000005,2405.3560999999972,2394.963674999995,2,2
2024-01-01 22:00:00,2378.0,2388.15,2378.0,2381.7,11450.0,2361.071799999996,2391.0492999999974,2375.6625249999965,1,0
2024-01-01 23:00:00,2378.25,2393.15,2390.15,2378.0,19781.0,2364.9968999999933,2392.376949999994,2378.2349499999923,2,0
2024-01-02 00:00:00,2383.8,2436.8,2430.35,2390.15,117891.0,2370.3882500000027,2402.519900000003,2384.4364250000003,1,0
2024-01-02 01:00:00,2416.4,2433.4,2418.0,2430.35,25636.0,2400.6754999999966,2463.964099999997,2437.8780999999944,2,2
2024-01-02 02:00:00,2396.95,2420.35,2402.1,2418.0,28625.0,2395.580849999991,2432.8049,2417.585524999996,1,0
2024-01-02 03:00:00,2384.0,2406.25,2394.15,2402.1,68552.0,2371.3598500000016,2417.5743000000016,2395.112425000001,0,1
2024-01-02 04:00:00,2387.3,2409.35,2391.9,2394.15,52694.0,2371.4035999999983,2407.237850000004,2391.038099999998,0,1
2024-01-02 05:00:00,2387.3,2406.0,2404.4,2391.9,26007.0,2365.5504000000005,2407.1965500000038,2386.1110000000026,0,1
2024-01-02 06:00:00,2360.65,2408.3,2372.2,2404.4,108410.0,2377.045349999994,2413.5122500000007,2394.2240999999985,0,0
2024-01-02 07:00:00,2357.25,2375.65,2361.1,2372.2,82233.0,2350.3878500000023,2394.223300000004,2368.5999250000023,0,1
2024-01-02 08:00:00,2353.3,2372.85,2370.15,2361.1,50585.0,2346.984850000001,2372.138549999988,2360.396675000001,0,1
2024-01-02 09:00:00,2354.1,2371.1,2358.8,2370.15,24530.0,2352.881050000007,2384.594600000002,2369.4405500000084,0,1
2024-01-02 10:00:00,2357.7,2372.25,2367.8,2358.8,27587.0,2346.459100000003,2368.8908999999917,2356.134025,0,1
2024-01-02 11:00:00,2357.25,2374.55,2369.55,2367.8,34382.0,2357.2316499999956,2381.623349999999,2369.1899750000143,2,0
2024-01-02 12:00:00,2361.2,2382.55,2362.35,2369.55,53804.0,2356.5235499999976,2380.498300000004,2368.76372500001,1,0
2024-01-02 13:00:00,2342.6,2369.35,2368.75,2362.35,74237.0,2351.6135499999964,2368.983349999993,2361.2924750000006,0,0
2024-01-02 14:00:00,2361.2,2375.9,2361.75,2368.75,12677.0,2351.5328500000037,2380.8770499999937,2367.157025000005,0,0
2024-01-02 15:00:00,2353.25,2365.7,2358.0,2361.75,16526.0,2351.097399999999,2368.07434999999,2359.5992249999927,0,0
2024-01-02 16:00:00,2349.55,2369.35,2364.1,2358.0,23853.0,2347.5257499999934,2364.7161999999967,2355.057825,0,0
2024-01-02 17:00:00,2363.05,2377.75,2375.25,2364.1,30671.0,2353.627899999999,2369.2171999999923,2361.7252999999937,0,0
2024-01-02 18:00:00,2368.7,2385.8,2372.7,2375.25,43198.0,2359.857649999996,2389.052049999998,2371.249725,0,2
2024-01-02 19:00:00,2365.6,2372.35,2369.7,2372.7,7894.0,2360.752599999994,2386.1883999999995,2371.779249999998,0,2
2024-01-02 20:00:00,2365.85,2376.85,2373.0,2369.7,27595.0,2358.9023999999963,2383.136149999998,2370.651275000001,2,0
2024-01-02 21:00:00,2370.35,2382.1,2379.7,2373.0,13734.0,2361.130449999993,2385.4686500000007,2373.356624999996,0,0
2024-01-02 22:00:00,2376.15,2383.05,2377.6,2379.7,11782.0,2360.6121499999927,2389.581249999999,2373.1273249999977,1,2
2024-01-02 23:00:00,2359.45,2382.0,2363.35,2377.6,40006.0,2358.2012999999947,2390.0014999999967,2372.2522999999997,0,2
2024-01-03 00:00:00,2363.95,2373.6,2372.8,2363.35,19863.0,2354.161449999997,2370.4984499999905,2363.4863249999903,2,0
2024-01-03 01:00:00,2372.85,2388.3,2378.45,2372.8,35921.0,2358.7843999999936,2385.9700999999977,2371.815,1,0
2024-01-03 02:00:00,2363.4,2383.05,2368.55,2378.45,35359.0,2357.900299999996,2392.8965000000003,2372.491500000005,0,1
2024-01-03 03:00:00,2292.5,2368.4,2310.55,2368.55,159546.0,2357.266650000002,2386.251599999996,2370.792449999998,2,0
2024-01-03 04:00:00,2063.7,2310.9,2250.55,2310.55,782221.0,2280.4499000000033,2333.6965499999874,2307.2110250000087,1,0
2024-01-03 05:00:00,2210.35,2249.6,2226.5,2250.55,195440.0,2179.0650000000014,2271.869600000006,2247.7383499999996,0,0
2024-01-03 06:00:00,2194.6,2228.95,2196.8,2226.5,90554.0,2198.2257499999964,2255.110950000004,2231.352850000002,2,0
2024-01-03 07:00:00,2193.1,2242.2,2241.75,2196.8,63631.0,2167.837550000007,2228.441500000002,2201.1959749999996,0,0
2024-01-03 08:00:00,2225.5,2247.15,2233.45,2241.75,74379.0,2209.404099999997,2259.9227000000033,2241.9275999999973,0,0
2024-01-03 09:00:00,2214.75,2236.2,2226.05,2233.45,40491.0,2207.095199999999,2244.9840500000014,2226.7431749999973,1,0
2024-01-03 10:00:00,2192.1,2230.75,2201.55,2226.05,40430.0,2196.8778999999945,2239.3548500000043,2219.294075000001,0,0
2024-01-03 11:00:00,2199.55,2231.45,2210.35,2201.55,48710.0,2179.7040500000044,2224.9202999999998,2205.5259999999994,2,0
2024-01-03 12:00:00,2207.55,2226.25,2221.5,2210.35,14395.0,2189.1441999999975,2229.193949999997,2207.501874999999,1,0
2024-01-03 13:00:00,2214.2,2230.95,2229.2,2221.5,15731.0,2204.9124499999957,2234.5886999999975,2218.1884999999947,0,0
